ra,dec,x,y,z,mag
320.286901,15.829949,-0.980585,0.153772,-0.121683,7.566175
207.790749,-77.865443,-0.704814,-0.336677,-0.624408,7.566239
164.556282,-69.930306,0.252631,0.637437,-0.727909,7.566279
319.412676,66.638426,-0.405278,0.674542,-0.617043,7.566473
123.300562,-19.457401,-0.584470,-0.576402,-0.571100,7.566487
149.562626,-42.195484,-0.070868,0.202286,0.976759,7.566587
18.550549,35.584780,-0.494218,0.152342,-0.855886,7.566927
287.637425,3.452868,-0.172015,0.936273,-0.306273,7.567275
337.854645,50.595001,0.125882,-0.937787,0.323588,7.567300
3.922541,-46.239677,0.450224,0.446235,-0.773416,7.567403
14.170061,28.798207,0.028477,-0.865420,-0.500238,7.567629
105.288189,19.214649,0.041866,-0.933152,0.357036,7.567825
302.077003,-34.627707,-0.882911,-0.464274,0.070130,7.567996
296.626952,-21.523112,-0.223868,-0.863921,-0.451135,7.568490
